codloc,nombre,departamento
2220,ARTIGAS,ARTIGAS
2521,BELLA UNION,ARTIGAS
2522,TOMAS GOMENSORO,ARTIGAS
2621,BALTASAR BRUM,ARTIGAS
2721,BERNABE RIVERA,ARTIGAS
2724,FRANQUIA,ARTIGAS
2725,SEQUEIRA,ARTIGAS
2822,CORONADO,ARTIGAS
2823,CUAREIM,ARTIGAS
2824,CUARO,ARTIGAS
2826,JAVIER DE VIANA,ARTIGAS
2827,LA BOLSA,ARTIGAS
2828,LAS PIEDRAS,ARTIGAS
2830,PINTADITO,ARTIGAS
2831,PORT. DE HIERRO Y CAMPODONICO,ARTIGAS
2833,MONES QUINTELA,ARTIGAS
2925,CAINSA,ARTIGAS
2927,PASO CAMPAMENTO,ARTIGAS
2934,DIEGO LAMAS,ARTIGAS
2945,PASO FARIAS,ARTIGAS
2952,RINCON DE PACHECO,ARTIGAS
2957,TOPADOR,ARTIGAS
2958,CERRO EJIDO,ARTIGAS
2959,COLONIA PALMA,ARTIGAS
2961,CERRO SIGNORELLI (EL MIRADOR),ARTIGAS
2962,CERRO SAN EUGENIO,ARTIGAS
2963,CALNU,ARTIGAS
3221,LAS PIEDRAS,CANELONES
3320,CANELONES,CANELONES
3321,LA PAZ,CANELONES
3322,PANDO,CANELONES
3323,SANTA LUCIA,CANELONES
3324,PIEDRAS DE AFILAR,CANELONES
3325,CUMBRES DE CARRASCO,CANELONES
3326,HARAS DEL LAGO,CANELONES
3327,QUINTA LOS HORNEROS,CANELONES
3328,LAS HIGUERITAS,CANELONES
3329,SOFIA SANTOS,CANELONES
3421,PROGRESO,CANELONES
3422,SAN RAMON,CANELONES
3521,BARROS BLANCOS,CANELONES
3523,COLONIA NICOLICH,CANELONES
3524,JOAQUIN SUAREZ,CANELONES
3525,PASO CARRASCO,CANELONES
3526,SANTA ROSA,CANELONES
3527,SAUCE,CANELONES
3528,TALA,CANELONES
3529,VILLA CRESPO Y SAN ANDRES,CANELONES
3530,FRACC. CNO. ANDALUZ Y R.84,CANELONES
3621,ATLANTIDA,CANELONES
3622,ESTACION ATLANTIDA,CANELONES
3624,CERRILLOS,CANELONES
3625,EMPALME OLMOS,CANELONES
3626,MIGUES,CANELONES
3627,PARQUE DEL PLATA,CANELONES
3628,SAN BAUTISTA,CANELONES
3629,SAN JACINTO,CANELONES
3630,DR. FRANCISCO SOCA,CANELONES
3631,TOLEDO,CANELONES
3632,MONTES,CANELONES
3633,SAN JOSE DE CARRASCO,CANELONES
3634,FRACC. SOBRE RUTA 74,CANELONES
3721,AGUAS CORRIENTES,CANELONES
3722,BARRA DE CARRASCO,CANELONES
3723,JUANICO,CANELONES
3724,LA FLORESTA,CANELONES
3725,ESTACION LA FLORESTA,CANELONES
3726,LAS TOSCAS,CANELONES
3727,PARQUE CARRASCO,CANELONES
3729,SALINAS,CANELONES
3730,SAN ANTONIO,CANELONES
3731,AEROPUERTO INTERNACIONAL DE CARRASCO,CANELONES
3732,SOLYMAR,CANELONES
3733,VILLA AEROPARQUE,CANELONES
3823,CASTELLANOS,CANELONES
3825,BARRIO COPOLA,CANELONES
3826,COSTA AZUL,CANELONES
3827,COSTA Y GUILLAMON,CANELONES
3828,EL PINAR,CANELONES
3829,ESTACION MIGUES,CANELONES
3830,PINAMAR - PINEPARK,CANELONES
3831,LAGOMAR,CANELONES
3832,OLMOS,CANELONES
3833,PARADA CABRERA,CANELONES
3834,SAN LUIS,CANELONES
3835,SHANGRILA,CANELONES
3836,TOTORAL DEL SAUCE,CANELONES
3837,VILLA FELICIDAD,CANELONES
3838,VILLA PAZ S.A.,CANELONES
3839,VILLA SAN JOSE,CANELONES
3840,ESTACION TAPIA,CANELONES
3880,VILLA SAN FELIPE,CANELONES
3881,VILLA HADITA,CANELONES
3882,PASO DE PACHE,CANELONES
3910,CITY GOLF,CANELONES
3911,VIEJO MOLINO SAN BERNARDO,CANELONES
3912,ESTANQUE DE PANDO,CANELONES
3913,JARDINES DE PANDO,CANELONES
3914,PASO ESPINOSA,CANELONES
3921,ARAMINDA,CANELONES
3922,ARGENTINO,CANELONES
3925,BELLO HORIZONTE,CANELONES
3926,BIARRITZ,CANELONES
3927,BOLIVAR,CANELONES
3928,CAMPO MILITAR,CANELONES
3929,CAPILLA DE CELLA,CANELONES
3934,CRUZ DE LOS CAMINOS,CANELONES
3935,CUCHILLA ALTA,CANELONES
3939,EL BOSQUE,CANELONES
3942,ESTACION PEDRERA,CANELONES
3943,FORTIN DE SANTA ROSA,CANELONES
3944,FRACC. PROGRESO,CANELONES
3945,INSTITUTO ADVENTISTA,CANELONES
3946,JAUREGUIBERRY,CANELONES
3948,LA LUCHA,CANELONES
3949,LA MONTAÑESA,CANELONES
3953,LOMAS DE SOLYMAR,CANELONES
3956,LOS TITANES,CANELONES
3957,MARINDIA,CANELONES
3959,NEPTUNIA,CANELONES
3962,PASO DE LA CADENA,CANELONES
3966,PASO PALOMEQUE,CANELONES
3968,PIEDRA DEL TORO,CANELONES
3969,ESTACION PIEDRAS DE AFILAR,CANELONES
3970,EL GALEON,CANELONES
3974,SANTA ANA,CANELONES
3975,SANTA LUCIA DEL ESTE,CANELONES
3978,SEIS HERMANOS,CANELONES
3979,VILLA AREJO,CANELONES
3980,VILLA ARGENTINA,CANELONES
3984,VILLA PORVENIR,CANELONES
3985,LA TUNA,CANELONES
3986,GUAZU - VIRA,CANELONES
3987,COLINAS DE SOLYMAR,CANELONES
3988,BARRIO REMANSO,CANELONES
3989,VILLA EL TATO,CANELONES
3990,VILLA SAN CONO,CANELONES
3991,VILLA JUANA,CANELONES
3992,COLINAS DE CARRASCO,CANELONES
3993,LOMAS DE CARRASCO,CANELONES
3994,CARMEL,CANELONES
3995,LA ASUNCION,CANELONES
3996,QUINTAS DEL BOSQUE,CANELONES
3997,ALTOS DE LA TAHONA,CANELONES
4220,MELO,CERRO LARGO
4521,FRAILE MUERTO,CERRO LARGO
4522,RIO BRANCO,CERRO LARGO
4621,TUPAMBAE,CERRO LARGO
4721,ISIDORO NOBLIA,CERRO LARGO
4821,ACEGUA,CERRO LARGO
4822,BAÑADO DE MEDINA,CERRO LARGO
4823,CENTURION,CERRO LARGO
4824,CERRO DE LAS CUENTAS,CERRO LARGO
4825,HIPODROMO,CERRO LARGO
4828,TOLEDO,CERRO LARGO
4829,TRES ISLAS,CERRO LARGO
4830,POBLADO URUGUAY,CERRO LARGO
4923,ARBOLITO,CERRO LARGO
4924,AREVALO,CERRO LARGO
4930,CASERIO LAS CAÑAS,CERRO LARGO
4940,ESPERANZA,CERRO LARGO
4943,GETULIO VARGAS,CERRO LARGO
4948,LA PEDRERA,CERRO LARGO
4952,MANGRULLO,CERRO LARGO
4956,NANDO,CERRO LARGO
4966,QUEBRACHO,CERRO LARGO
4968,RAMON TRIGO,CERRO LARGO
4981,SOTO GORO,CERRO LARGO
4983,BARRIO LOPEZ BENITEZ,CERRO LARGO
4987,BARRIO LA VINCHUCA,CERRO LARGO
4988,ARACHANIA,CERRO LARGO
4989,ÑANGAPIRE,CERRO LARGO
5320,COLONIA DEL SACRAMENTO,COLONIA
5321,CARMELO,COLONIA
5323,JUAN LACAZE,COLONIA
5421,NUEVA HELVECIA,COLONIA
5422,ROSARIO,COLONIA
5423,NUEVA PALMIRA,COLONIA
5452,PASO ANTOLIN,COLONIA
5521,OMBUES DE LAVALLE,COLONIA
5522,TARARIRAS,COLONIA
5621,COLONIA VALDENSE,COLONIA
5622,FLORENCIO SANCHEZ,COLONIA
5721,CONCHILLAS,COLONIA
5722,CASERIO EL CERRO,COLONIA
5724,LA PAZ,COLONIA
5726,RIACHUELO,COLONIA
5727,JUAN CARLOS CASEROS,COLONIA
5798,AGRACIADA,COLONIA
5821,BOCA DEL ROSARIO,COLONIA
5824,CUFRE,COLONIA
5826,EL SEMILLERO,COLONIA
5827,ESTACION ESTANZUELA,COLONIA
5829,CERROS DE SAN JUAN,COLONIA
5831,MIGUELETE,COLONIA
5923,CAMPANA,COLONIA
5924,ARTILLEROS,COLONIA
5925,BARKER,COLONIA
5927,EL ENSUEÑO,COLONIA
5931,BLANCA ARENA,COLONIA
5932,BRISAS DEL PLATA,COLONIA
5938,COLONIA COSMOPOLITA,COLONIA
5940,PARAJE MINUANO,COLONIA
5951,LOS PINOS,COLONIA
5955,CHICO TORINO,COLONIA
5956,LA HORQUETA,COLONIA
5959,PLAYA AZUL,COLONIA
5960,PLAYA BRITOPOLIS,COLONIA
5961,PLAYA PARANT,COLONIA
5962,PLAYA FOMENTO,COLONIA
5964,PUERTO INGLES,COLONIA
5969,RADIAL HERNANDEZ,COLONIA
5977,SAN PEDRO,COLONIA
