codigo,nombre,nombre_oficial,alfa3
4,AFGANISTAN,Afganistán,AFG
8,ALBANIA,Albania,ALB
12,ALGERIA,Algeria,DZA
16,SAMOA AMERICANA,Samoa Americana,ASM
20,ANDORRA,Andorra,AND
24,ANGOLA,Angola,AGO
28,ANTIGUA Y BARBUDA,Antigua y Barbuda,ATG
31,AZERBAIJAN,Azerbaijan,AZE
32,ARGENTINA,Argentina,ARG
36,AUSTRALIA,Australia,AUS
40,AUSTRIA,Austria,AUT
44,BAHAMAS,Bahamas,BHS
48,BAHRAIN,Bahrain,BHR
50,BANGLADESH,Bangladesh,BGD
51,ARMENIA,Armenia,ARM
52,BARBADOS,Barbados,BRB
56,BELGICA,Bélgica,BEL
60,BERMUDA,Bermuda,BMU
64,BHUTAN,Bhutan,BTN
68,BOLIVIA,Estado Plurinacional de Bolivia,BOL
70,BOSNIA HERZEGOVINA,Bosnia Herzegovina,BIH
72,BOTSWANA,Botswana,BWA
76,BRASIL,Brasil,BRA
84,BELICE,Belice,BLZ
90,ISLAS SALOMON,Islas Salomón,SLB
92,ISLAS VIRGENES BRITANICAS,Islas Vírgenes Británicas,VGB
96,BRUNEI DARUSSALAM,Brunei Darussalam,BRN
100,BULGARIA,Bulgaria,BGR
104,UNION DE MYANMAR (BURMA),Unión de Myanmar (Burma),MMR
108,BURUNDI,Burundi,BDI
112,BELARUS,Belarus,BLR
116,CAMBODIA,Cambodia,KHM
120,CAMERUN,Camerún,CMR
124,CANADA,Canadá,CAN
132,CABO VERDE,Cabo Verde,CPV
136,ISLAS CAYMAN,Islas Caymán,CYM
140,REPUBLICA CENTRAL AFRICANA,República Central Africana,CAF
144,SRI LANKA,Sri Lanka,LKA
148,CHAD,Chad,TCD
152,CHILE,Chile,CHL
156,CHINA,China,CHN
170,COLOMBIA,Colombia,COL
174,COMOROS,Comoros,COM
175,MAYOTTE,Mayotte,MYT
178,CONGO,Congo,COG
180,REPUBLICA DEMOCRATICA DEL CONGO,República Democrática del Congo,COD
184,ISLA COOK,Isla Cook,COK
188,COSTA RICA,Costa Rica,CRI
191,CROACIA,Croacia,HRV
192,CUBA,Cuba,CUB
196,CHIPRE,Chipre,CYP
203,REPUBLICA CHECA,República Checa,CZE
204,BENIN,República de Benin,BEN
208,DINAMARCA,Dinamarca,DNK
212,DOMINICA,Dominica,DMA
214,REPUBLICA DOMINICANA,República Dominicana,DOM
218,ECUADOR,Ecuador,ECU
222,EL SALVADOR,El Salvador,SLV
226,GUINEA ECUATORIAL,Guinea Ecuatorial,GNQ
231,ETIOPIA,Etiopía,ETH
232,ERITREA,Eritrea,ERI
233,ESTONIA,Estonia,EST
234,ISLA FAEROE,Isla Faeroe,FRO
238,ISLAS MALVINAS,Islas Malvinas,FLK
242,FIJI,Fiji,FJI
246,FINLANDIA,Finlandia,FIN
248,ISLAS ALAND,Islas Aland,ALA
250,FRANCIA,Francia,FRA
254,GUAYANA FRANCESA,Guayana Francesa,GUF
258,POLINESIA FRANCESA,Polinesia Francesa,PYF
262,REPUBLICA DE DJIBOUTI,República de Djibouti,DJI
266,GABON,Gabón,GAB
268,GEORGIA,Georgia,GEO
270,GAMBIA,Gambia,GMB
275,PALESTINA,Territorios Ocupados Palestinos,PSE
276,ALEMANIA,Alemania,DEU
288,GHANA,Ghana,GHA
292,GIBRALTAR,Gibraltar,GIB
296,REPUBLICA DE KIRIBATI,República de Kiribati,KIR
300,GRECIA,Grecia,GRC
304,GROENLANDIA,Groenlandia,GRL
308,GRENADA,Grenada,GRD
312,GUADALUPE,Guadalupe,GLP
316,GUAM,Guam,GUM
320,GUATEMALA,Guatemala,GTM
324,GUINEA,Guinea,GIN
328,GUYANA,Guyana,GUY
332,HAITI,Haití,HTI
336,HOLY SEE,Holy See,VAT
340,HONDURAS HONG KONG (REGION ADMINISTRATIVA,Honduras Hong Kong (Región Administrativa,HND
344,HONG KONG,Hong Kong,HKG
348,HUNGRIA,Hungría,HUN
352,ISLANDIA,Islandia,ISL
356,INDIA,India,IND
360,INDONESIA,Indonesia,IDN
364,IRAN,República Islámica de Irán,IRN
368,IRAQ,Iraq,IRQ
372,IRLANDA,Irlanda,IRL
376,ISRAEL,Israel,ISR
380,ITALIA,Italia,ITA
384,COSTA DE MARFIL,Costa de Marfil,CIV
388,JAMAICA,Jamaica,JAM
392,JAPON,Japón,JPN
398,REPUBLICA DE KAZAKHSTAN,República de Kazakhstan,KAZ
400,JORDANIA,Jordania,JOR
404,KENYA,Kenya,KEN
408,COREA DEL NORTE,República Democrática de Corea,PRK
410,COREA DEL SUR,República de Corea,KOR
414,KUWAIT,Kuwait,KWT
417,KYRGYZSTAN,Kyrgyzstan,KGZ
418,REPUBLICA DEMOCRATICA DE LAO,República Democrática de Lao,LAO
422,LIBANO,Líbano,LBN
426,LESOTHO,Lesotho,LSO
428,LATVIA,Latvia,LVA
430,LIBERIA,Liberia,LBR
434,LIBYA,Libya,LBY
438,PRINCIPADO DE LIECHTENSTEIN,Principado de Liechtenstein,LIE
440,LITUANIA,Lituania,LTU
442,LUXEMBURGO MACAU (REGION ADMINISTRATIVA ESPECIAL DEL,Luxemburgo Macau (Región Administrativa Especial del,LUX
446,MACAU,Macau,
450,MADAGASCAR,Madagascar,MDG
454,MALAWI,Malawi,MWI
458,MALASIA,Malasia,MYS
462,REPUBLICA DE MALDIVAS,República de Maldivas,MDV
466,REPUBLICA DE MALI,República de Mali,MLI
470,MALTA,Malta,MLT
474,MARTINIQUE,Martinique,MTQ
478,MAURITANIA,Mauritania,MRT
480,REPUBLICA DE MAURITIUS,República de Mauritius,MUS
484,MEXICO,Méjico,MEX
492,MONACO,Mónaco,MCO
496,MONGOLIA,Mongolia,MNG
498,MOLDAVIA,Moldova,MDA
499,MONTENEGRO,Montenegro,MNE
500,MONTSERRAT,Montserrat,MSR
504,MOROCCO,Morocco,MAR
508,MOZAMBIQUE,Mozambique,MOZ
512,OMAN,Oman,OMN
516,NAMIBIA,Namibia,NAM
520,NAURU,Nauru,NRU
524,NEPAL,Nepal,NPL
528,HOLANDA,Holanda,NLD
530,ANTILLAS HOLANDESAS,Antillas Holandesas,ANT
533,ARUBA,Aruba,ABW
540,NUEVA CALEDONIA,Nueva Caledonia,NCL
548,VANUATU,Vanuatu,VUT
554,NUEVA ZELANDA,Nueva Zelanda,NZL
558,NICARAGUA,Nicaragua,NIC
562,NIGER,Niger,NER
566,NIGERIA,Nigeria,NGA
570,NIUE,Niue,NIU
574,ISLAS NORFOLK,Islas Norfolk,NFK
578,NORUEGA,Noruega,NOR
580,ISLAS MARIANAS DEL NORTE,Islas Marianas del Norte,MNP
583,ESTADOS FEDERADOS DE MICRONESIA,Estados Federados de Micronesia,FSM
584,ISLAS MARSHALL,Islas Marshall,MHL
585,PALAU,Palau,PLW
586,PAKISTAN,Pakistán,PAK
591,PANAMA,Panamá,PAN
598,PAPUA NUEVA GUINEA,Papua Nueva Guinea,PNG
600,PARAGUAY,Paraguay,PRY
604,PERU,Perú,PER
608,FILIPINAS,Filipinas,PHL
612,ISLA PITCAIRN,Isla Pitcairn,PCN
616,POLONIA,Polonia,POL
620,PORTUGAL,Portugal,PRT
624,GUINEA-BISSAU,Guinea-Bissau,GNB
626,TIMOR ORIENTAL,República Democrática de Timor-Leste,TLS
630,PUERTO RICO,Puerto Rico,PRI
634,QATAR,Qatar,QAT
638,ISLA REUNION,Isla Réunion,REU
642,RUMANIA,Rumania,ROU
643,RUSIA,Federación Rusa,RUS
646,RWANDA,Rwanda,RWA
652,SAN BARTOLOMEO,San Bartolomeo,BLM
654,SANTA HELENA,Santa Helena,SHN
659,SAN KITTS Y NEVIS,San Kitts y Nevis,KNA
660,ANGUILLA,Anguilla,AIA
662,SANTA LUCIA,Santa Lucía,LCA
663,SAN MARTIN (PARTE FRANCESA),San Martín (parte Francesa),MAF
666,SAN PEDRO Y MIQUELON,San Pedro y Miquelón,SPM
670,SAN VICENTE Y LAS GRANADINAS,San Vicente y las Granadinas,VCT
